amrs_concept_id,kenyaemr_concept_uuid
3,121629AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
12,12AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
16,142412AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
18,142412AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
21,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
32,32AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
36,36AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
42,42AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
48,48AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
55,111633AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
56,56AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
58,112141AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
70,120860AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
80,116558AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
88,103727AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
92,74250AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
98,73300AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
102,102AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
105,105AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
106,106AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
107,143264AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
108,108AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
116,148432AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
121,121AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
130,130AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
131,119558AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
136,120749AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
138,150555AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
142,141760AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
149,116995AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
150,158843AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
151,151AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
159,160432AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
161,135488AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
171,171AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
173,133499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
174,112992AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
175,119481AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
190,190AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
206,206AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
207,119537AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
215,136443AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
222,126423AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
228,228AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
230,230AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
244,79413AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
257,76609AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
270,84893AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
272,162302AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
273,82023AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
299,299AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
300,300AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
302,302AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
307,307AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
374,374AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
438,84360AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
456,148035AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
460,460AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
461,461AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
507,507AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
512,512AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
516,516AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
562,562AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
