AMRS Concept ID,KenyEMR Concept UUID
1724,423c034e-14ac-4243-ae75-80d1daddce55
6750,161358AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
6749,160540AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1915,160632AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
10747,160534AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
10748,160535AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
7013,160555AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1499,159599AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
9203,160554AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
6748,162724AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
5356,5356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
5356,5356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1633,160533AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
2155,160741AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
966,966AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1088,1088AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
2056,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
5090,5090AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1343,1343AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
5629,5629AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1174,1174AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
10653,160638AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
10873,160642AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
10872,160641AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
10741,160640AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
10873,160642AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
10872,160641AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1065,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1066,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
10647,164144AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
