amrs_concept_id,kenyaemr_concept_uuid,Category
3,121629AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
12,12AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
16,142412AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
36,36AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
42,42AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
58,112141AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
70,120860AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
92,74250AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
98,73300AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
102,102AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
105,105AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
106,106AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
107,143264AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
108,108AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
116,148432AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
121,121AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
131,119558AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
136,120749AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
138,150555AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
150,158843AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
151,151AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
159,160432AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
161,135488AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
173,133499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
175,119481AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
190,190AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
206,113054AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
207,119537AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
215,136443AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
222,126423AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
270,84893AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
272,162302AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
273,82023AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
307,307AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
374,374AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
438,84360AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
456,148035AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
460,460AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
507,507AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
512,512AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
516,516AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
562,562AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
589,143050AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
620,139084AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
625,84309AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
631,80586AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
633,75523AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
656,78280AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
664,664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
703,703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
745,75948AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
767,767AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
768,768AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
780,780AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
782,782AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
784,81724AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
792,792AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HIV Enrollment
794,794AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
796,74807AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
797,86663AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
802,84795AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
